trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_PulpHC,param_Class_15,param_PumpRPM
0,-0.3858333230018616,2025-08-28 15:54:27.596686,2025-08-28 15:54:27.599721,171.7998844526838,15.143182291538213,225.21376289166136,0.4520968145037919,1692.838757962032,182.86313505082927,5.262089422355938,28.480269873068348,497.21929763526333,1.9002745695934855,1138.4104818525025
1,-0.38312828540802,2025-08-28 15:54:27.599721,2025-08-28 15:54:27.601228,194.54758052492244,14.065655156371927,237.24780026940408,0.3604804747900796,1607.9654007329082,231.0935028148115,20.424134291449096,34.268629478574155,442.05655681506846,1.8695657966882273,997.7866981910729
2,-0.3858333230018616,2025-08-28 15:54:27.602733,2025-08-28 15:54:27.604814,195.09369301449607,13.442885453107879,220.6647468306631,0.2963716175340886,1623.6131072295568,177.65588345009775,17.1897002426132,51.8755168904292,492.7769461810269,2.225053188725293,766.0131819577558
3,-0.3858333230018616,2025-08-28 15:54:27.604814,2025-08-28 15:54:27.607321,187.78265234809777,7.070436370069038,193.0525603746153,0.3548975407008968,1825.6345278992542,225.01678061109035,24.78053934327376,32.68413130738719,489.21349901700944,0.7213357518909118,822.6453799805694
4,-0.38600626587867737,2025-08-28 15:54:27.607321,2025-08-28 15:54:27.609321,190.3979724687294,14.6152470682934,225.02483594291868,0.4198543688346523,1813.3218232774975,230.77638886955893,25.95742287559089,41.84886455089135,504.9266591299107,2.0826801930847934,965.3120036496989
5,-0.3736007511615753,2025-08-28 15:54:27.609321,2025-08-28 15:54:27.610824,191.7106727177939,11.444345920014065,220.55006024901257,0.39278478357075053,1602.0179671072958,211.22297572221524,8.998296993692303,35.36600550648892,367.4110834210651,0.9939962113914376,828.2134196106925
6,-0.38475552201271057,2025-08-28 15:54:27.611828,2025-08-28 15:54:27.613422,181.13429615632,7.436118061791332,218.03452790575463,0.31773418018903804,1780.38347413207,191.76367947636942,18.694464322746,45.64999287776747,463.40490767733127,2.0452606336946566,900.6914047606507
7,-0.3854960799217224,2025-08-28 15:54:27.613422,2025-08-28 15:54:27.615931,182.49169585629775,10.036423786780961,226.7983364187463,0.4651005829529696,1755.3827394526957,205.20682008715752,8.270626612525843,45.66832586226698,472.4520047663911,1.1188004196412455,991.7188179545988
8,-0.3736007511615753,2025-08-28 15:54:27.615931,2025-08-28 15:54:27.617985,183.96481929831384,17.033857183460256,190.86829995333923,0.31322943649272544,1731.9231540145274,188.10185964038158,18.869798326473536,39.243691377601934,385.9232010997644,1.3551363479581378,867.5685744498774
9,-0.3736007511615753,2025-08-28 15:54:27.617985,2025-08-28 15:54:27.620035,173.58119713261587,10.171425958555234,201.8044572071081,0.400483712481218,1710.051991839157,220.66399217295472,11.107230549308888,45.707403059389314,406.53106364484984,1.1923950833178996,1125.9951788198116
10,-0.3736007511615753,2025-08-28 15:54:27.620634,2025-08-28 15:54:27.661558,177.0989403703853,10.884730270370005,171.26956013334052,0.4911558376544924,1546.2970020195012,207.23477350156676,12.713305815806216,17.774687617935303,330.1311925642457,0.8375027886006133,777.0280012815515
11,-0.3736007511615753,2025-08-28 15:54:27.661558,2025-08-28 15:54:27.715956,165.98417391080744,17.673813272197386,185.68347039045494,0.3194907584598675,1663.1701170932843,194.51494180864438,31.056091941531125,25.976112965051946,361.6321180226625,1.4806758486372757,872.9348196518179
12,-0.3736007511615753,2025-08-28 15:54:27.715956,2025-08-28 15:54:27.759419,186.55132565393208,18.11438323848867,206.80369971696732,0.363380057875787,1558.171323211414,214.10441185394063,13.875253942769367,38.86293250222334,396.93022457859615,1.4041652696987792,875.1092949513792
13,-0.4172752797603607,2025-08-28 15:54:27.759419,2025-08-28 15:54:27.799378,185.08884598915796,16.386716460530877,183.1078032675929,0.43503593334530144,1738.3900647268485,187.66831807564293,3.5865996162022835,23.57088756129412,554.4627203113474,1.0343390891461914,830.6729050446015
14,-0.3736007511615753,2025-08-28 15:54:27.799436,2025-08-28 15:54:27.838766,190.83374383862505,11.44829807678936,205.56246741536273,0.2802737066919525,1644.1505594199004,168.55921616595134,21.720297963857128,54.26385840253595,383.0559482494494,1.6608319342892404,923.6383214205508
15,-0.3736007511615753,2025-08-28 15:54:27.838766,2025-08-28 15:54:27.878559,191.212963008514,8.805022883015463,211.60801264748181,0.37146627868078586,1588.5960626627534,203.68065233904886,15.575696521772159,40.194952665039416,428.52815562862406,1.2426513828407004,1050.4215701485323
16,-0.3736007511615753,2025-08-28 15:54:27.879066,2025-08-28 15:54:27.919153,177.83770140924983,12.570571973164247,239.9200739083666,0.5186090618750925,1676.9151648952584,198.0825116135911,9.034700678560535,31.470748772126164,346.7400020438118,0.9491040124673007,826.2314475133946
17,-0.3736007511615753,2025-08-28 15:54:27.920155,2025-08-28 15:54:27.956718,183.77399167486968,15.971516554587598,192.46868436784612,0.3260162962545034,1733.3224234456302,212.7392201466746,23.477948577733883,37.638236647056296,375.12026868114367,1.3570192212207384,799.4489435383734
18,-0.3736007511615753,2025-08-28 15:54:27.956718,2025-08-28 15:54:27.994002,188.37904161655217,12.491258573857394,175.4765987804968,0.391861060819233,1849.5475564024132,177.22532128827302,7.521658260746465,20.073642559060314,412.70135971529044,0.9254435833303174,856.9468490030652
19,-0.3736007511615753,2025-08-28 15:54:27.994002,2025-08-28 15:54:28.030224,193.01984437460786,8.830917656594744,199.530372492555,0.3410809754742247,1786.9621026790812,215.66314607853164,28.403782562215312,29.59265460504571,350.60330827895314,1.6710706879081911,925.8903249282799
20,-0.3736007511615753,2025-08-28 15:54:28.030224,2025-08-28 15:54:28.074100,178.87909853135926,16.789983553553313,214.5254396127641,0.39710088056946014,1592.976403637843,197.5461646494488,16.54161584598055,36.18982522589174,387.27348763958844,1.5956321723967741,1041.3293279985428
21,-0.3736007511615753,2025-08-28 15:54:28.074100,2025-08-28 15:54:28.118196,174.33947744703093,9.89710285337327,200.80633802203448,0.41508315136445223,1713.6229689131894,217.20213035170767,11.605714974807684,46.18452244827327,424.4873599339381,1.1805304670260308,1065.6895825035722
22,-0.3736007511615753,2025-08-28 15:54:28.118196,2025-08-28 15:54:28.154926,168.89706741379544,11.843715585731463,195.72009971344937,0.38499297449623004,1708.6170537011467,221.63371698482953,10.837531705958748,48.83571871479441,396.6161015676938,1.2882015198275094,1120.0303582816293
23,-0.3736007511615753,2025-08-28 15:54:28.156430,2025-08-28 15:54:28.194320,173.7921565958314,10.334844596216472,186.6078824308114,0.41129374781832634,1650.7507551989931,208.50121858355527,14.95724983915156,42.79538312551407,410.0606283303895,1.1173824369190537,900.6023899600585
24,-0.3736007511615753,2025-08-28 15:54:28.195323,2025-08-28 15:54:28.232751,170.03579578230918,8.900339107403283,231.58479923264977,0.44808258682069463,1692.389740232548,223.71047500244003,10.129961333503061,49.43173801385735,366.6530934869653,0.7075834759721569,751.0884423223985
25,-0.38312828540802,2025-08-28 15:54:28.232751,2025-08-28 15:54:28.271587,174.4466601904575,13.152869541322655,209.74370919287944,0.34168677908788214,1763.277356452134,219.8667200013359,6.6495278666803195,41.652973066877486,440.27362001022163,1.0120433024293636,953.0836451935737
26,-0.3736007511615753,2025-08-28 15:54:28.271587,2025-08-28 15:54:28.310397,164.98857453717827,11.641312153855884,201.5633898081003,0.38201376781858515,1726.8225377997999,210.90161379336328,19.118351032949278,35.05482841614459,334.84923633835956,1.4773481499120324,1099.0107619260107
27,-0.3736007511615753,2025-08-28 15:54:28.310397,2025-08-28 15:54:28.348311,181.84871025797338,8.288106355847647,179.43589809518588,0.475168893525921,1628.527221239507,202.35355284894817,13.226215314646698,43.26841957694475,401.29414981677684,0.8463523022162556,846.7309934871486
28,-0.3736007511615753,2025-08-28 15:54:28.349310,2025-08-28 15:54:28.390159,176.13056937373125,9.772013811639773,196.01865705121952,0.43290017580321594,1673.8554382910309,186.31689391377043,5.369258503301083,37.3819421484125,358.54679586638844,1.2433499595890436,1012.0168048774308
29,-0.3736007511615753,2025-08-28 15:54:28.390159,2025-08-28 15:54:28.432142,179.82366755146165,15.206776762473115,219.19122576919204,0.29234203158946004,1697.4626140308462,179.7738842640075,3.855173860226804,28.36966307047783,375.7842987924359,1.8055395948838318,1146.0433658290772
30,-0.3736007511615753,2025-08-28 15:54:28.432644,2025-08-28 15:54:28.471127,171.14080644745917,13.81978710916285,191.06464806200205,0.3418956382716402,1567.2254277465368,170.38084969623284,9.449026006017839,49.317146020834016,422.442747562646,1.333679013794506,1088.857756946509
31,-0.3736007511615753,2025-08-28 15:54:28.471688,2025-08-28 15:54:28.510926,176.89995210800708,10.791843991568701,171.67715616631466,0.49581803515623574,1542.4677337563082,206.68186159854073,12.118855808318814,17.377653882809582,331.26626175252204,0.8163218519329889,786.0409305949224
32,-0.3736007511615753,2025-08-28 15:54:28.510926,2025-08-28 15:54:28.550873,167.98755071757637,10.79844960214488,178.07661402304976,0.4996448246998072,1580.9381178676495,209.62081768993497,13.283593347286624,16.282267772819633,337.9010235206993,1.0984032664863665,807.4448835715749
33,-0.3736007511615753,2025-08-28 15:54:28.551872,2025-08-28 15:54:28.592144,172.40105377320336,12.488447621194117,169.08482288266586,0.46641973761100464,1545.6861720550114,218.1072973929884,21.281448982486026,32.25276514326519,351.4640460837989,0.8599847499747652,851.5208874867783
34,-0.3736007511615753,2025-08-28 15:54:28.593646,2025-08-28 15:54:28.634288,176.07575469014094,11.213440318384269,232.74925200731982,0.30393834255390384,1612.6218751404433,226.71791021811876,18.24883569020519,21.838769145911176,368.5025775993502,0.9209493780703666,773.655769591617
35,-0.3736007511615753,2025-08-28 15:54:28.634288,2025-08-28 15:54:28.677389,195.0778010811057,9.441922494140147,215.11312502012922,0.4349284065330191,1752.188732810111,201.38420514227423,6.314225719102041,34.06958877461145,388.5063768403667,1.0433638635851934,751.0486424034876
36,-0.3832264244556427,2025-08-28 15:54:28.677892,2025-08-28 15:54:28.725098,189.000806361023,7.931910262648394,188.55959344105534,0.4875415545283654,1572.1787684816907,228.70004789109208,16.07823474163115,40.28244400610279,446.30569948808,0.7594133313568522,801.5555098289149
37,-0.3913716673851013,2025-08-28 15:54:28.726098,2025-08-28 15:54:28.774594,185.74838357389794,14.322334389168489,182.63805396957383,0.4517490375925805,1634.6341898384112,193.20024990813548,11.768057370685709,27.253198585221288,510.18718769559695,1.1850423827346976,889.7201735692886
38,-0.3736007511615753,2025-08-28 15:54:28.774594,2025-08-28 15:54:28.814403,193.01121191938668,15.277868460848326,222.0709174523373,0.3710405264133647,1606.6735736862415,190.47254379916603,14.503952686271212,30.595471352148714,350.36955959448323,0.942195297916268,984.2957218052734
39,-0.38475552201271057,2025-08-28 15:54:28.814403,2025-08-28 15:54:28.853614,183.62862568706575,6.651215803952357,203.8357562443203,0.5197139042125728,1787.045523383732,212.45572098361845,17.26203168500545,45.186520502607074,464.3032255634887,2.2913496060424987,918.4181627333853
40,-0.3736007511615753,2025-08-28 15:54:28.853614,2025-08-28 15:54:28.897490,179.9492436868549,13.355273869030972,196.65072769821813,0.35102153837560995,1687.538784338794,197.80887603142622,19.992409261590268,25.518018424641383,410.62286336953935,1.4273480031628507,817.6299340162185
41,-0.3736007511615753,2025-08-28 15:54:28.897490,2025-08-28 15:54:28.939193,164.5401286130796,18.342628822924937,187.01437461447688,0.31877093811044055,1652.9293854836776,194.6338439118989,31.452689462621084,19.1713890152667,363.2160877799562,1.5349475556959495,875.2102126853274
42,-0.3736007511615753,2025-08-28 15:54:28.939193,2025-08-28 15:54:28.980694,167.6743921030093,17.887139483683306,183.05255284944099,0.32820842436013664,1671.4125565726843,185.27722020352826,27.72893822164113,24.511168935916068,377.309882090041,1.8063306940992718,839.6683733878165
43,-0.3736007511615753,2025-08-28 15:54:28.981697,2025-08-28 15:54:29.024109,166.35080233007852,17.29308714565707,174.72367998371553,0.29968048404412406,1601.1116268365563,189.056391185773,30.91631237362209,33.138466734039675,342.22500532920856,1.1893510111752832,875.8143861040807
44,-0.3736007511615753,2025-08-28 15:54:29.024109,2025-08-28 15:54:29.065985,172.37770017637536,10.626345392242236,208.44979875206278,0.3128962459542695,1722.8790481840635,206.23980227667275,24.19023572763047,21.84564042865609,358.6700871073656,1.401795837276288,778.9534540497998
45,-0.3736007511615753,2025-08-28 15:54:29.066988,2025-08-28 15:54:29.109214,187.2565726450172,17.18220182390059,191.69124866566972,0.3559561961120325,1665.23480705077,194.58474960757798,8.222666519928964,15.113599764581478,393.2373420925364,1.5632781609030837,856.7820862935242
46,-0.4172752797603607,2025-08-28 15:54:29.109214,2025-08-28 15:54:29.151516,178.33442605650663,15.879446486255198,179.2577444741407,0.2839560557879014,1560.2624428297343,182.09518562964436,26.458943812904877,38.08304462074726,566.3059540421214,1.2890184853973237,937.9977446386196
47,-0.3736007511615753,2025-08-28 15:54:29.151516,2025-08-28 15:54:29.196844,183.82522156356868,12.030345349933034,203.57547202799898,0.3316086397645443,1619.13062122937,231.729778477212,23.01029903028183,26.778343212064684,380.66556366797346,1.653643849886484,828.3469363136059
48,-0.3736007511615753,2025-08-28 15:54:29.196844,2025-08-28 15:54:29.240630,189.53368151347183,17.80973486877383,189.77726504360865,0.30917258690258936,1746.2024592809387,199.70253060741467,9.721241383102008,52.990487431996094,368.9994164013855,1.020646470070404,789.3784510749414
49,-0.3736007511615753,2025-08-28 15:54:29.240630,2025-08-28 15:54:29.282394,192.75025923712536,11.415647881020421,197.83198481290842,0.4018034866931412,1710.1244182065332,213.94326977036948,29.328048956244853,40.150573659008,330.9116052300713,2.001381180217825,890.3684624698888
